"id_policy","id_client","id_vehicle","id_claim","id_year","claim_amount","claim_nb"
"A00000010-V01","A00000010","V01","CL01","Year 0",1144.3,1
"A00000031-V02","A00000031","V02","CL01","Year 0",506.33,1
"A00000040-V02","A00000040","V02","CL01","Year 0",148.35,1
"A00000050-V01","A00000050","V01","CL01","Year 0",41.19,1
"A00000052-V02","A00000052","V02","CL01","Year 0",3389.28,1
"A00000060-V01","A00000060","V01","CL01","Year 0",49.01,1
"A00000065-V01","A00000065","V01","CL01","Year 0",8.61,1
"A00000068-V01","A00000068","V01","CL01","Year 0",329.07,1
"A00000072-V01","A00000072","V01","CL01","Year 0",66.07,1
"A00000072-V01","A00000072","V01","CL02","Year 0",135.39,1
"A00000085-V02","A00000085","V02","CL01","Year 0",1105.01,1
"A00000115-V01","A00000115","V01","CL01","Year 0",2757.93,1
"A00000129-V01","A00000129","V01","CL01","Year 0",71.45,1
"A00000149-V01","A00000149","V01","CL01","Year 0",4372.03,1
"A00000154-V02","A00000154","V02","CL01","Year 0",3064.17,1
"A00000172-V02","A00000172","V02","CL01","Year 0",472.67,1
"A00000184-V02","A00000184","V02","CL01","Year 0",24.58,1
"A00000193-V01","A00000193","V01","CL01","Year 0",247.8,1
"A00000202-V01","A00000202","V01","CL01","Year 0",522.49,1
"A00000210-V02","A00000210","V02","CL01","Year 0",-94.79,1
"A00000220-V01","A00000220","V01","CL01","Year 0",341.66,1
"A00000229-V01","A00000229","V01","CL01","Year 0",276.07,1
"A00000268-V01","A00000268","V01","CL01","Year 0",1195.7,1
"A00000279-V01","A00000279","V01","CL01","Year 0",882.78,1
"A00000293-V01","A00000293","V01","CL01","Year 0",17.73,1
"A00000299-V01","A00000299","V01","CL01","Year 0",84.21,1
"A00000299-V01","A00000299","V01","CL02","Year 0",816.48,1
"A00000309-V01","A00000309","V01","CL01","Year 0",1207.84,1
"A00000312-V02","A00000312","V02","CL01","Year 0",208.71,1
"A00000313-V01","A00000313","V01","CL01","Year 0",487.9,1
"A00000313-V01","A00000313","V01","CL02","Year 0",538.63,1
